Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Puteri Komarudin,Jawa Barat VII,Golkar,DPR RI,Trinity College Foundation Studies; University of Melbourne Australia,,Ade Komarudin (ayah); Netty Marliza (ibu)
Saan Mustopa,Jawa Barat VII,Demokrat,Wakil Ketua DPR RI; DPR RI,Universitas Pendidikan Indonesia; Universitas Indonesia,"Ilah Holilah (istri, Juga disebut Ilah Hollilah, M.Si, Ustadzah, Pembina Majelis Taklim Kabupaten Karawang, dan dosen)","Zahra Najwa (anak, Satu-satunya anak yang disebutkan)"
Ahmad Syaikhu,Jawa Barat VII,PKS,Presiden Partai Keadilan Sejahtera 2020-2025; DPR RI; Wakil Wali Kota Bekasi,Sekolah Tinggi Akuntansi Negara,Lilik Wakhidah (istri),
Jalal Abdul Nasir,Jawa Barat VII,PKS,DPR RI,Politeknik Keuangan Negara STAN,Temmi Wahyuni (istri),
Verrell Bramasta,Jawa Barat VII,PAN,DPR RI,Universitas Pelita Harapan; Institut Komunikasi dan Bisnis LSPR; Universitas Oxford,,Ivan Fadilla Soedjoko (ayah); Venna Melinda (ibu)
Cellica Nurrachadiana,Jawa Barat VII,Demokrat,DPR RI; Bupati Karawang; Wakil Bupati Karawang; DPRD Jawa Barat,Universitas Katolik Soegijapranata; Universitas Katolik Soegijapranata,,"Tidak disebutkan namanya (anak, Memiliki satu anak)"
Dedi Wahidi,Jawa Barat VIII,PKB,DPR RI; Wakil Bupati Indramayu,Universitas Swadaya Gunung Jati,Tarsiti (istri),
Kardaya Warnika,Jawa Barat VIII,Gerindra,DPR RI,Institut Teknologi Bandung; Universitas Indonesia; École Nationale Supérieure du Pétrole et des Moteurs; Institut Français du Pétrole; Universite de Ijon,,
Rokhmin Dahuri,Jawa Barat VIII,PDI-P,Menteri Kelautan dan Perikanan Indonesia; DPR RI,Institut Pertanian Bogor; Dalhousie University,Figoselfi Anas (istri),
Zulkifli Hasan,,,Menteri Koordinator Bidang Pangan Indonesia; Menteri Perdagangan Indonesia; Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; DPR RI; Ketua Umum Partai Amanat Nasional; Menteri Kehutanan Indonesia,,Soraya (istri),Putri (anak); Zita Anjani (anak); Zainudin Hasan (adik); Helmi Hasan (adik); Zulkifli Nurdin (besan); Zumi Zola (menantu); Hasan (ayah); Siti Zaenab (ibu)
Dendi Ramadhona,,,Bupati Pesawaran,,"Nanda Indira Bastian, S.E., M.M (istri)",H. Zulkifli Anwar S.H (ayah); Dra. Hj. Djuniar Adhar (ibu)
