Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Kaisar Abu Hanifah,Daerah Istimewa Yogyakarta,PKB,DPR RI,MI/SD Lembaga Pendidikan Ma'arif NU Maron Probolinggo; MTS/SMP Lembaga Pendidikan Ma'arif NU Maron Probolinggo; Madrasah Aliyah (MA) di Pondok Pesantren Zainul Hasan Genggong dari 2002 hingga 2005.; S1 IAIN Sunan Kalijaga Yogyakarta,,
Siti Hediati Soeharto,Daerah Istimewa Yogyakarta,Gerindra; Golkar; Berkarya,DPR RI; Wakil Ketua Dewan Pembina DPP Partai Gerindra; Ketua Dewan Pertimbangan DPP Partai Berkarya; Wakil Ketua Koordinator Bidang Pertama DPP Partai Golkar; Wakil Ketua Dewan Pakar DPP Partai Golkar; Wakil Ketua Umum DPP Partai Golkar; Wakil Ketua Komisi IV DPR RI; Ketua Bidang Pertanian dan Nelayan DPP Partai Golkar,SD Cikini; SMP Negeri 1 Jakarta; SMA Negeri 3 Jakarta (pada tahun 1974-1977); S1 Fakultas Ekonomi Universitas Indonesia (FEUI) dengan jurusan Akuntansi,,
M. Y. Esti Wijayati,Daerah Istimewa Yogyakarta,PDI-P,DPR RI,,,
G. M. Totok Hedi Santosa,Daerah Istimewa Yogyakarta,PDI-P,DPR RI,,,
Gandung Pardiman,Daerah Istimewa Yogyakarta,Golkar,DPR RI; Anggota DPRD,,,
Subardi,Daerah Istimewa Yogyakarta,NasDem,DPR RI; DPD RI; Pegawai Dinas Pekerjaan Umum; Pegawai Kanwil Departemen Pekerjaan Umum; Pegawai Jawatan Gedung-gedung Negara Daerah Istimewa Yogyakarta,SD Margoagung II Sleman. Tahun: 1959 - 1965; SMP-STN Sleman. Tahun: 1965 - 1968; STM Negeri 1 Yogyakarta. Tahun: 1968 - 1971; S1 ILMU HUKUM Universitas Wiraswasta Indonesia. Tahun: 2004 - 2007; S2 ILMU HUKUM Universitas Jayabaya. Tahun: 2007 - 2009,,
Sukamta,Daerah Istimewa Yogyakarta,PKS,DPR RI,,,
Totok Daryanto,Daerah Istimewa Yogyakarta,PAN,DPR RI; Bendahara Umum Partai Amanat Nasional; Anggota FPAN DPR RI; Anggota FPAN DPRD Yogyakarta; ANGGOTA PP MUHAMMADIYAH MAJELIS EKONOMI; BENDAHARA ICMI CAB DIY; ANGGOTA PWM DIY MAJELIS EKONOMI; KETUA LPM UII/MUHIBAH; KETUA LEMBAGA PERS HMI CAB YOGYAKARTA,SDN CAMPUR (1966); SMPN GONDANG (1969); SMAN NGANJUK (1972); FAK TEKNIK SIPIL UII YOGYAKARTA (1980); FE UNIV GAJAYANA MALANG (1999); Pascasarjana (S2) UGM,,
Arzeti Bilbina Setyawan,Jawa Timur I,PKB,DPR RI,,,
Bambang Haryo Soekartono,Jawa Timur I,Gerindra,DPR RI; DPR RI,,,
